total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state
61.71,5.0,1451,0,13.799051315222078,1,2917,18
66.67,4.0,1178,0,4.829667960327727,1,557,18
262.69,4.0,1113,0,2.6941004948766913,1,408,13
116.23,5.0,1204,0,5.683894946508142,1,3328,25
139.18,1.0,1137,0,3.4826177128893816,1,2917,18
260.05,5.0,1264,0,7.655187991539868,5,143,17
159.36,1.0,1099,0,2.234132117702622,1,2917,18
67.5,5.0,1112,0,2.6612456107928293,1,2577,22
448.38,4.0,1332,4,9.757900572907042,2,3212,18
287.38,5.0,1237,0,6.768106121275591,1,2917,18
170.43,5.0,1096,0,2.135567465451036,1,1272,25
71.53,5.0,1085,0,1.7741637405285529,1,1359,22
75.07,5.0,1197,0,5.453910757921107,1,2917,18
296.6,1.0,1051,0,0.6570976816772418,5,413,10
139.42,4.0,1420,0,12.780549908622353,1,1164,22
48.0,3.0,1356,0,10.67783732725518,1,3046,8
113.34,4.0,1224,0,6.340992628185384,1,2917,18
64.0,4.0,1151,0,3.942586090063451,1,3779,7
37.77,4.0,1169,0,4.533974003572968,1,3328,25
137.04,5.0,1062,0,1.0185014065997249,1,749,10
138.39,4.0,1053,0,0.722807449844966,1,1280,25
32.76,5.0,1070,0,1.2813404792706216,1,2917,18
73.13,4.0,1250,0,7.195219614365798,1,3762,17
121.3,5.0,1055,0,0.7885172180126901,1,2315,18
164.94,5.0,1272,0,7.918027064210764,1,2740,22
49.34,5.0,1126,0,3.1212139879668985,1,3779,7
35.77,4.0,1054,0,0.7556623339288281,1,3173,25
295.12,5.0,1184,0,5.0267972648309,3,3328,25
101.72,4.5,1461,10,13.799051315222078,2,3328,25
84.14,5.0,1321,0,9.527916384320006,1,1248,23
48.92,5.0,1219,0,6.176718207766073,1,3328,25
114.13,4.0,1312,0,9.232222427565247,1,3328,25
300.49,2.0,1178,0,4.829667960327727,1,760,7
129.05,5.0,1176,0,4.763958192160003,1,3328,25
178.55,5.0,1391,0,11.827758270190353,1,1530,9
523.71,5.0,1179,0,4.86252284441159,1,202,24
399.93,5.0,1376,291,1.7741637405285529,2,426,25
404.16,3.0,1178,0,4.829667960327727,1,1858,10
61.7,5.0,1114,0,2.7269553789605534,1,3287,25
138.74,3.0,1033,0,0.06570976816772418,1,1882,11
181.68,4.0,1112,0,2.6612456107928293,1,3128,25
227.23,5.0,1135,0,3.4169079447216575,1,3657,10
218.95,5.0,1110,0,2.595535842625105,1,3328,25
105.3,4.0,1160,0,4.23828004681821,1,3409,22
64.09,5.0,1341,0,10.18501406599725,1,1475,10
177.34,5.0,1114,0,2.7269553789605534,1,3274,15
27.6,5.0,1175,0,4.7311033080761415,1,2917,18
114.45,1.0,1309,0,9.133657775313662,1,2315,18
229.83,5.0,1482,103,11.433499661184008,2,2859,22
98.66,1.0,1373,0,11.236370356680835,3,3328,25
29.94,4.0,1348,0,10.414998254584283,1,3173,25
40.0,3.0,1178,0,4.829667960327727,1,2917,18
80.43,2.0,1259,0,7.490913571120557,1,2106,25
659.89,4.333333333333333,1188,0,5.158216801166349,3,186,25
175.41000000000003,5.0,1106,22,1.7413088564446908,2,2577,22
43.03,5.0,1286,0,8.377995441384833,1,1268,17
142.42,4.0,1320,0,9.495061500236144,1,3298,9
270.28,5.0,1145,0,3.7454567855602785,1,1264,5
116.36,4.0,1161,0,4.271134930902072,1,2303,23
211.82,5.0,1145,0,3.7454567855602785,1,198,17
342.48,5.0,1168,0,4.501119119489107,3,212,7
19.77,5.0,1332,0,9.88932010924249,1,1536,25
151.58,3.0,1211,0,5.9138791350951765,1,3328,25
137.76,5.0,1035,0,0.13141953633544837,1,3328,25
131.96,5.0,1170,0,4.566828887656831,1,3328,25
45.53,4.0,1339,0,10.119304297829524,1,2740,22
96.7,5.0,1327,0,9.72504568882318,1,3328,25
127.21,1.0,1068,0,1.2156307111028974,1,3792,18
64.14,3.0,1213,0,5.979588903262901,1,223,9
72.67,1.0,1098,0,2.20127723361876,1,1733,15
148.15,5.0,1270,0,7.85231729604304,1,626,17
200.86,1.0,1039,0,0.26283907267089673,1,3179,25
368.6,5.0,1179,0,4.86252284441159,1,3328,25
84.69,5.0,1436,0,13.306228053964148,1,3627,23
88.48,5.0,1294,0,8.64083451405573,1,3328,25
102.3,5.0,1210,33,4.796813076243866,2,3328,25
179.04,5.0,1047,0,0.5256781453417935,1,481,10
77.57,1.0,1180,0,4.895377728495451,1,3212,18
195.0,2.0,1269,0,7.819462411959178,1,1132,18
229.79,5.0,1377,0,11.367789893016283,1,241,15
167.59,2.0,1412,0,12.517710835951457,1,1051,17
347.06,4.0,1270,0,7.85231729604304,1,2320,10
21.01,5.0,1043,0,0.3942586090063451,1,3173,25
42.77,1.0,1045,0,0.4599683771740693,1,3702,25
385.57,3.5,1079,0,1.5770344360253803,2,3328,25
66.5,1.0,1160,0,4.23828004681821,1,3328,25
53.49,5.0,1331,0,9.856465225158628,1,2917,18
164.79,5.0,1135,0,3.4169079447216575,1,3328,25
527.92,1.0,1301,0,8.870818702642765,4,2917,18
76.86,1.0,1075,0,1.445614899689932,1,2917,18
32.69,5.0,1215,0,6.045298671430625,1,2794,25
37.0,4.0,1146,0,3.7783116696441406,1,3132,22
215.01,5.0,1279,0,8.148011252797799,1,2008,25
108.5,4.0,1136,0,3.4497628288055195,1,3328,25
67.62,5.0,1092,0,2.0041479291155877,1,408,13
34.0,1.0,1230,0,6.538121932688556,1,3304,22
60.1,5.0,1206,0,5.749604714675866,1,681,18
218.13,4.0,1451,0,13.799051315222078,1,1621,18
153.2,5.0,1181,0,4.928232612579314,1,3701,25
40.69,5.0,1075,0,1.445614899689932,1,1129,25
118.25,5.0,1353,0,10.579272675003594,1,429,10
126.37,4.5,1346,237,2.562680958541243,2,1277,25
48.39,5.0,1188,0,5.158216801166349,1,1941,25
223.3,5.0,1284,0,8.31228567321711,1,649,25
212.02,4.0,1326,0,9.692190804739317,1,2917,18
218.48000000000002,5.0,1240,0,6.8666707735271775,3,1941,25
58.38,5.0,1315,0,9.330787079816835,1,3328,25
52.69,2.0,1069,0,1.2484855951867595,1,3282,25
57.09,5.0,1143,0,3.6797470173925544,1,2315,18
78.64,5.0,1214,0,6.012443787346763,1,598,4
89.62,4.0,1312,0,9.232222427565247,1,3461,17
541.08,5.0,1178,0,4.829667960327727,1,2917,18
83.0,5.0,1361,0,10.84211174767449,1,1555,10
168.22,4.0,1372,13,10.776401979506765,2,1030,4
319.11,5.0,1249,0,7.1623647302819355,1,2393,25
105.31,4.0,1126,0,3.1212139879668985,1,413,10
577.92,4.0,1172,0,4.632538655824555,1,2917,18
99.01,1.0,1088,0,1.8727283927801393,1,3378,18
147.15,5.0,1128,0,3.186923756134623,1,3328,25
274.82,4.0,1344,312,0.03285488408386209,2,2917,18
76.86,5.0,1071,0,1.3141953633544836,1,452,10
34.0,5.0,1149,0,3.8768763218957267,1,2577,22
477.28,5.0,1267,0,7.7537526437914535,1,1274,17
221.94,3.0,1303,0,8.936528470810488,4,3328,25
196.52,5.0,1049,0,0.5913879135095177,1,2523,14
364.99,5.0,1167,0,4.468264235405244,1,2917,18
153.39,5.0,1032,0,0.03285488408386209,1,1029,22
136.88,5.0,1345,0,10.316433602332697,1,2917,18
617.1,3.6666666666666665,1466,0,14.29187457648001,3,591,17
38.12,5.0,1304,0,8.969383354894351,1,2380,15
1126.64,5.0,1042,0,0.361403724922483,1,3128,25
105.28,4.0,1173,0,4.665393539908417,1,2632,17
41.04,4.0,1167,0,4.468264235405244,1,2761,20
254.35,5.0,1261,0,7.556623339288281,2,3160,25
54.1,5.0,1154,0,4.041150742315037,1,3686,22
223.27999999999997,5.0,1222,0,6.27528286001766,4,358,7
165.8,5.0,1105,0,2.431261422205795,1,2452,22
119.93,1.0,1099,0,2.234132117702622,1,3749,10
117.38,5.0,1159,0,4.205425162734348,1,831,19
38.0,4.0,1123,0,3.0226493357153124,1,1858,10
37.09,5.0,1173,0,4.665393539908417,1,958,10
793.5699999999999,2.5,1174,6,4.501119119489107,2,408,13
68.0,5.0,1257,0,7.425203802952833,1,3328,25
393.61,5.0,1410,37,11.236370356680835,2,413,10
138.53,4.0,1177,0,4.796813076243866,1,3128,25
208.74,5.0,1252,0,7.260929382533522,2,2917,18
