total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state,purchased
86.22,3.0,1456,0,13.339082938048008,1,3258,23,0
43.62,4.0,1240,0,6.242427975933797,1,408,13,0
196.89,5.0,1207,0,5.158216801166349,1,3477,25,0
166.98,4.0,1065,0,0.49282326125793136,1,3328,25,0
35.38,4.0,1050,0,0.0,1,649,25,0
419.18,1.0,1101,0,1.6755990882769667,1,1051,17,0
150.12,4.0,1462,0,13.536212242551182,1,3561,18,0
129.76,1.0,1089,0,1.2813404792706216,1,3298,9,0
29.0,3.0,1326,0,9.067948007145937,1,2130,7,0
126.26,5.0,1202,0,4.993942380747038,1,1671,25,0
63.66,5.0,1077,0,0.8870818702642764,1,649,25,0
91.28,4.0,1302,0,8.279430789133247,1,2740,22,0
93.7,4.5,1253,0,6.669541469024004,2,3160,25,0
93.7,4.5,1253,0,6.669541469024004,2,3160,25,0
93.7,4.5,1253,0,6.669541469024004,2,3160,25,0
93.7,4.5,1253,0,6.669541469024004,2,3160,25,0
29.0,5.0,1179,0,4.23828004681821,1,413,10,0
36.68,5.0,1153,0,3.3840530606377954,1,3328,25,0
257.44,2.0,1296,0,8.082301484630074,1,3347,25,0
325.93,1.0,1333,0,9.297932195732972,1,3529,22,0
61.8,4.0,1096,0,1.5113246678576562,1,3328,25,0
212.16,4.0,1282,0,7.622333107456005,1,2069,17,0
76.11,4.0,1504,0,14.916117374073389,1,508,6,0
297.14,3.0,1411,0,11.860613154274215,1,1331,13,0
192.83,5.0,1346,0,9.72504568882318,1,3128,25,0
117.94,5.0,1308,0,8.47656009363642,1,676,10,0
155.65,1.0,1235,0,6.078153555514487,1,708,22,0
99.82,5.0,1142,0,3.0226493357153124,1,3328,25,0
58.86,3.0,1416,0,12.024887574693526,1,1800,25,0
91.21,4.0,1296,0,8.082301484630074,1,2297,12,0
27.0,3.0,1107,0,1.8727283927801393,1,708,22,0
87.71,1.0,1118,0,2.234132117702622,1,1941,25,0
36.73,4.0,1345,0,9.692190804739317,1,3328,25,0
116.23,4.0,1215,0,5.421055873837245,1,3178,25,0
135.08,5.0,1183,0,4.3696995831536585,1,3787,18,0
35.84,3.0,1447,0,13.04338898129325,1,3328,25,0
237.81,4.0,1440,0,12.813404792706216,1,202,24,0
107.44,3.0,1073,0,0.7556623339288281,1,2768,25,0
46.78,5.0,1076,0,0.8542269861804144,1,3287,25,0
354.87,3.0,1178,0,4.205425162734348,1,3701,25,0
118.2,5.0,1153,0,3.3840530606377954,1,3426,25,0
