Tot_sales,Tot_amount,Avg_review,Avg_delivery,Tot_sales_Quartile,Avg_review_Quartile,Tot_amount_Quartile,Avg_delivery_Quartile,SellerScore
3,2685.0,3.6666666666666665,3.3333333333333335,2,1,3,2,2312
239,25080.030000000017,3.8744769874476988,2.6066945606694563,4,2,4,3,4423
1,250.0,1.0,3.278150893247353,1,1,2,2,1212
56,1254.4,3.982142857142857,4.357142857142857,4,2,3,1,4321
1,120.0,5.0,0.0,1,4,1,4,1144
177,20550.170000000027,4.0790960451977405,1.7231638418079096,4,2,4,4,4424
26,1007.5000000000001,3.6538461538461537,2.8461538461538463,4,1,3,2,4312
1,98.0,5.0,4.0,1,4,1,2,1142
1,86.0,5.0,2.0,1,4,1,3,1143
173,20345.0,4.335260115606936,1.9653179190751444,4,3,4,3,4433
143,13490.799999999992,3.7202797202797204,2.965034965034965,4,2,4,2,4422
2,1416.0,4.5,3.5,1,3,3,2,1332
5,849.5,1.0,22.0,2,1,3,1,2311
2,99.98,4.0,15.0,1,2,1,1,1121
3,90.25,5.0,1.3333333333333333,2,4,1,4,2144
26,1619.6999999999998,4.730769230769231,2.923076923076923,4,4,3,2,4342
15,7058.0,3.6666666666666665,5.6,3,1,4,1,3411
12,729.88,3.8333333333333335,2.3333333333333335,3,2,2,3,3223
39,4733.1,4.0256410256410255,2.3333333333333335,4,2,4,3,4423
11,1521.21,4.090909090909091,1.5454545454545454,3,2,3,4,3324
12,577.4999999999998,4.083333333333333,1.0,3,2,2,4,3224
67,9729.359999999991,4.223880597014926,2.985074626865672,4,3,4,2,4432
5,1465.99,5.0,1.6,2,4,3,4,2344
39,1208.0,4.3076923076923075,1.3333333333333333,4,3,3,4,4334
131,14921.42999999997,4.351145038167939,1.7404580152671756,4,3,4,4,4434
249,31561.500000000106,4.2730923694779115,2.1365461847389557,4,3,4,3,4433
11,393.0,4.2727272727272725,4.2727272727272725,3,3,2,1,3231
8,706.4,4.75,12.25,2,4,2,1,2241
3,70.5,5.0,4.0,2,4,1,2,2142
2,54.98,3.0,3.278150893247353,1,1,1,2,1112
4,522.65,4.75,1.75,2,4,2,4,2244
17,1618.6500000000003,4.588235294117647,1.7647058823529411,3,3,3,4,3334
16,5794.0,2.6875,10.3125,3,1,4,1,3411
19,1641.9,3.3157894736842106,4.315789473684211,3,1,3,1,3311
24,5264.190000000001,4.541666666666667,4.25,3,3,4,1,3431
30,3883.0499999999993,4.833333333333333,2.433333333333333,4,4,4,3,4443
44,6378.0,4.568181818181818,1.2727272727272727,4,3,4,4,4434
7,4728.8,3.142857142857143,6.468307270463908,2,1,4,1,2411
2,29.8,2.0,10.0,1,1,1,1,1111
8,96.0,4.5,2.25,2,3,1,3,2133
2,467.0,3.5,5.0,1,1,2,1,1211
9,114.90000000000002,4.444444444444445,4.444444444444445,3,3,1,1,3131
5,12925.0,4.0,4.0,2,2,4,2,2422
9,1078.4099999999999,4.111111111111111,2.0,3,2,3,3,3323
3,359.70000000000005,4.333333333333333,5.333333333333333,2,3,2,1,2231
13,1859.1799999999998,3.923076923076923,2.0,3,2,3,3,3323
3,413.48,3.6666666666666665,2.0,2,1,2,3,2213
94,60130.60000000009,3.882978723404255,6.319148936170213,4,2,4,1,4421
90,7792.099999999988,4.477777777777778,1.5981605853304675,4,3,4,4,4434
4,137.79999999999998,5.0,1.75,2,4,1,4,2144
2,1400.0,5.0,9.0,1,4,3,1,1341
51,9264.779999999995,4.117647058823529,2.823529411764706,4,2,4,2,4422
17,5518.0,3.5294117647058822,4.176470588235294,3,1,4,1,3411
16,2575.9,4.3125,3.6875,3,3,3,2,3332
28,1352.1999999999998,3.7857142857142856,5.5,4,2,3,1,4321
1,289.49,5.0,0.0,1,4,2,4,1244
10,1055.0,3.2,4.555630178649471,3,1,3,1,3311
98,3737.9500000000057,4.510204081632653,2.0510204081632653,4,3,4,3,4433
4,2748.0,2.25,3.958613169935515,2,1,3,2,2312
22,9983.1,3.3636363636363638,9.909090909090908,3,1,4,1,3411
66,12333.389999999989,4.075757575757576,2.1363636363636362,4,2,4,3,4423
11,626.9,5.0,1.5454545454545454,3,4,2,4,3244
4,952.0,5.0,3.25,2,4,3,2,2342
13,1328.0,3.3846153846153846,3.3846153846153846,3,1,3,2,3312
65,7749.9,4.384615384615385,1.9384615384615385,4,3,4,3,4433
1,42.9,5.0,6.0,1,4,1,1,1141
10,951.9999999999999,3.9,3.5278150893247355,3,2,3,2,3322
2,74.99000000000001,5.0,3.5,1,4,1,2,1142
1,179.9,5.0,4.0,1,4,1,2,1142
66,5759.66,3.909090909090909,2.5606060606060606,4,2,4,3,4423
8,193.38000000000002,4.125,2.5,2,2,1,3,2123
63,13769.009999999986,4.095238095238095,4.834227012484043,4,2,4,1,4421
6,9353.0,4.5,1.5,2,3,4,4,2434
64,22610.780000000006,4.171875,2.65625,4,3,4,3,4433
2,133.22,5.0,2.0,1,4,1,3,1143
60,7520.999999999995,3.966666666666667,5.8213025148874555,4,2,4,1,4421
9,10220.5,4.222222222222222,3.0,3,3,4,2,3432
72,4727.2,3.763888888888889,2.0833333333333335,4,2,4,3,4423
74,9410.37999999999,3.9324324324324325,3.2605155526114507,4,2,4,2,4422
54,5904.409999999998,4.0,2.759259259259259,4,2,4,2,4422
4,173.99,4.0,4.75,2,2,1,1,2121
406,36531.94000000018,3.960591133004926,5.073891625615763,4,2,4,1,4421
18,1536.19,4.611111111111111,1.5555555555555556,3,4,3,4,3344
30,9070.0,4.366666666666666,1.3333333333333333,4,3,4,4,4434
95,22188.560000000005,3.873684210526316,2.4163821240683654,4,2,4,3,4423
9,946.49,4.111111111111111,2.111111111111111,3,2,3,3,3323
39,3393.159999999996,3.4358974358974357,3.9743589743589745,4,1,4,2,4412
40,2292.509999999999,3.575,5.581953772331184,4,1,3,1,4311
4,336.96,4.75,1.75,2,4,2,4,2244
15,346.59999999999997,3.466666666666667,5.437086785766313,3,1,2,1,3211
7,241.2,4.285714285714286,4.142857142857143,2,3,2,1,2231
6,106.8,4.666666666666667,5.0,2,4,1,1,2141
11,842.0,2.727272727272727,1.8181818181818181,3,1,3,4,3314
10,349.3,4.8,0.6,3,4,2,4,3244
2,239.8,3.5,1.0,1,1,2,4,1214
24,1776.0,3.25,1.9166666666666667,3,1,3,3,3313
2,722.4,2.5,5.5,1,1,2,1,1211
9,719.0999999999999,4.333333333333333,1.3333333333333333,3,3,2,4,3234
2,51.8,4.0,4.0,1,2,1,2,1122
130,5716.779999999991,4.492307692307692,1.548293468409595,4,3,4,4,4434
83,14504.199999999986,4.614457831325301,2.180722891566265,4,4,4,3,4443
4,123.80000000000001,4.5,8.5,2,3,1,1,2131
12,372.50000000000006,4.166666666666667,3.6666666666666665,3,3,2,2,3232
8,1597.3000000000002,4.125,4.125,2,2,3,1,2321
23,2073.2999999999997,3.3043478260869565,1.6956521739130435,3,1,3,4,3314
8,305.4,3.625,3.5,2,1,2,2,2212
97,7644.299999999987,4.237113402061856,1.5463917525773196,4,3,4,4,4434
6,7265.59,3.1666666666666665,5.666666666666667,2,1,4,1,2411
30,2648.0000000000014,4.2,1.1333333333333333,4,3,3,4,4334
12,1642.0,4.416666666666667,1.5,3,3,3,4,3334
7,221.61999999999998,2.7142857142857144,2.7142857142857144,2,1,2,3,2213
7,3517.99,2.4285714285714284,11.714285714285714,2,1,4,1,2411
13,354.69999999999993,3.5384615384615383,3.923076923076923,3,1,2,2,3212
1,538.0,5.0,6.0,1,4,2,1,1241
22,943.9999999999999,4.2727272727272725,3.4545454545454546,3,3,3,2,3332
3,452.0,4.666666666666667,2.0,2,4,2,3,2243
2,1359.0,3.5,1.5,1,1,3,4,1314
2,38.9,5.0,6.0,1,4,1,1,1141
27,1215.7900000000002,3.814814814814815,2.8518518518518516,4,2,3,2,4322
19,1519.2,4.052631578947368,2.1052631578947367,3,2,3,3,3323
7,492.29999999999995,4.857142857142857,1.2857142857142858,2,4,2,4,2244
5,329.5,3.4,2.4556301786494705,2,1,2,3,2213
20,5193.829999999998,2.95,2.45,3,1,4,3,3413
5,487.5,5.0,3.2,2,4,2,2,2242
56,11821.499999999998,3.875,3.017857142857143,4,2,4,2,4422
1,69.99,5.0,12.0,1,4,1,1,1141
2,462.0,5.0,3.5,1,4,2,2,1242
12,667.9,4.583333333333333,1.8333333333333333,3,3,2,4,3234
2,850.92,1.0,3.278150893247353,1,1,3,2,1312
11,815.62,2.8181818181818183,1.7272727272727273,3,1,2,4,3214
15,1716.8700000000001,4.333333333333333,2.066666666666667,3,3,3,3,3333
6,1449.4,4.833333333333333,1.8333333333333333,2,4,3,4,2344
143,15969.849999999971,3.867132867132867,4.340341995520868,4,2,4,1,4421
2,158.88,5.0,1.5,1,4,1,4,1144
8,1427.91,3.875,1.625,2,2,3,4,2324
1,59.0,5.0,1.0,1,4,1,4,1144
2,257.75,4.5,1.0,1,3,2,4,1234
25,1225.4999999999998,3.92,3.6511260357298942,4,2,3,2,4322
1,153.75,4.0,24.0,1,2,1,1,1121
3,1416.76,4.666666666666667,4.0,2,4,3,2,2342
14,1678.1400000000003,4.785714285714286,2.0714285714285716,3,4,3,3,3343
1,55.0,5.0,5.0,1,4,1,1,1141
78,13533.649999999996,3.4615384615384617,3.282051282051282,4,1,4,2,4412
15,765.0,5.0,2.0,3,4,2,3,3243
3,245.18,3.6666666666666665,1.0,2,1,2,4,2214
1,19.9,5.0,1.0,1,4,1,4,1144
4,137.6,4.75,2.25,2,4,1,3,2143
216,29274.80000000001,3.986111111111111,2.7824074074074074,4,2,4,2,4422
146,7482.209999999988,4.205479452054795,1.2328767123287672,4,3,4,4,4434
1,22.2,5.0,41.0,1,4,1,1,1141
31,2388.300000000001,4.580645161290323,2.944456480427334,4,3,3,2,4332
180,11805.499999999964,3.8944444444444444,2.4253127877027483,4,2,4,3,4423
9,1367.2,4.888888888888889,1.1111111111111112,3,4,3,4,3344
62,5774.599999999998,3.6774193548387095,5.258064516129032,4,2,4,1,4421
6,371.20000000000005,3.6666666666666665,1.5,2,1,2,4,2214
74,3043.200000000003,4.04054054054054,3.027027027027027,4,2,3,2,4322
5,479.5,5.0,2.2,2,4,2,3,2243
222,17558.58999999998,4.0225225225225225,3.1621621621621623,4,2,4,2,4422
3,309.70000000000005,5.0,0.6666666666666666,2,4,2,4,2244
41,5324.15,3.8536585365853657,2.3658536585365852,4,2,4,3,4423
25,575.2999999999998,4.52,1.68,4,3,2,4,4234
4,792.64,4.0,2.75,2,2,2,3,2223
8,696.26,2.75,4.375,2,1,2,1,2211
58,4845.200000000001,3.8793103448275863,3.1206896551724137,4,2,4,2,4422
2,144.8,5.0,1.5,1,4,1,4,1144
137,9077.399999999994,4.211678832116788,2.9124087591240877,4,3,4,2,4432
193,18446.92,3.937823834196891,2.8082901554404147,4,2,4,2,4422
10,402.9,4.5,2.9,3,3,2,2,3232
89,10021.489999999989,4.303370786516854,2.6179775280898876,4,3,4,3,4433
3,84.35,2.6666666666666665,3.3333333333333335,2,1,1,2,2112
6,223.32,4.333333333333333,4.333333333333333,2,3,2,1,2231
3,140.8,4.666666666666667,1.0,2,4,1,4,2144
12,1307.34,3.25,3.6158962055197303,3,1,3,2,3312
277,10945.899999999945,4.296028880866426,2.041719501034277,4,3,4,3,4433
15,1552.0,4.6,1.4666666666666666,3,3,3,4,3334
32,3046.8000000000015,4.5,2.46875,4,3,3,3,4333
4,296.6,5.0,3.75,2,4,2,2,2242
43,2141.420000000001,4.325581395348837,5.116279069767442,4,3,3,1,4331
1,59.9,5.0,3.0,1,4,1,2,1142
56,4699.009999999999,4.196428571428571,1.7321428571428572,4,3,4,4,4434
4,369.81000000000006,3.75,1.75,2,2,2,4,2224
1,79.9,5.0,3.0,1,4,1,2,1142
3,195.74,4.0,2.6666666666666665,2,2,1,3,2123
1,129.9,3.0,0.0,1,1,1,4,1114
1,9.0,5.0,0.0,1,4,1,4,1144
