total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state
116.23,5.0,1206,0,5.2567814534179345,1,3328,25
262.02,1.0,1056,0,0.3285488408386209,1,2777,25
86.37,5.0,1076,0,0.9856465225158627,1,3287,25
108.2,1.0,1162,0,3.8111665537280026,1,967,25
922.84,4.0,1047,0,0.03285488408386209,1,1927,5
44.24,4.0,1360,0,10.316433602332697,1,649,25
67.22,3.0,1201,0,5.092507032998625,1,3601,22
100.04,4.0,1186,0,4.599683771740692,1,2272,18
46.82,5.0,1121,0,2.464116306289657,1,413,10
244.29,5.0,1408,0,11.893468038358078,2,148,13
45.09,2.0,1368,0,10.579272675003594,1,2034,10
20.3,5.0,1121,0,2.464116306289657,1,961,10
47.35,5.0,1314,0,8.80510893447504,1,2911,25
838.97,4.0,1195,0,4.895377728495451,1,2358,22
135.08,5.0,1166,0,3.942586090063451,1,2270,18
30.09,5.0,1207,0,5.289636337501797,1,1248,23
823.16,1.0,1173,0,4.172570278650485,1,2917,18
341.78,4.5,1417,79,9.593626152487731,4,829,22
125.52,5.0,1055,0,0.29569395675475885,1,1921,17
146.66,4.0,1169,0,4.041150742315037,1,3298,9
218.94,3.0,1244,176,0.722807449844966,2,3328,25
345.52,4.0,1403,336,0.689952565761104,2,2715,17
227.48000000000002,3.0,1274,0,7.490913571120557,4,2917,18
33.8,1.0,1289,0,7.983736832378488,1,1733,15
785.88,4.0,1120,0,2.431261422205795,2,408,13
246.99,5.0,1061,0,0.49282326125793136,1,2106,25
58.94,1.0,1386,0,11.170660588513112,1,3328,25
58.22,5.0,1086,0,1.3141953633544836,1,2536,25
242.12,3.0,1392,0,11.367789893016283,1,289,25
198.70000000000002,5.0,1097,0,1.6755990882769667,3,2254,19
44.0,5.0,1312,0,8.739399166307317,1,2379,25
257.34,5.0,1214,0,5.519620526088832,1,3160,25
88.16,1.0,1113,0,2.20127723361876,1,1332,8
896.37,2.0,1055,0,0.29569395675475885,1,2254,19
161.46,1.0,1127,0,2.6612456107928293,1,2917,18
33.45,5.0,1160,0,3.7454567855602785,1,1990,1
34.0,5.0,1104,0,1.9055832768640013,1,3328,25
276.71,5.0,1048,0,0.06570976816772418,1,3328,25
43.34,5.0,1210,0,5.388200989753383,1,1229,25
67.42,5.0,1090,0,1.445614899689932,1,3328,25
78.72,2.0,1304,0,8.47656009363642,1,390,25
101.34,1.0,1171,0,4.106860510482761,1,2922,23
386.70000000000005,4.0,1292,0,8.082301484630074,3,1217,4
316.34000000000003,3.25,1447,82,10.480708022752006,4,3574,23
91.18,4.0,1304,0,8.47656009363642,1,2917,18
67.72,5.0,1395,0,11.46635454526787,1,3328,25
56.04,5.0,1071,0,0.8213721020965523,1,3328,25
143.07,1.0,1230,0,6.045298671430625,1,3654,4
70.63,3.0,1165,0,3.909731205979589,1,504,13
285.18,4.0,1334,180,3.5483274810571057,2,644,14
41.59,5.0,1334,0,9.462206616152283,1,3328,25
48.09,5.0,1340,0,9.659335920655455,1,1719,10
693.52,5.0,1395,0,11.46635454526787,1,1248,23
33.51,4.0,1419,0,12.25487176328056,1,3173,25
647.0699999999999,4.0,1381,100,7.720897759707592,2,2127,25
64.09,3.0,1193,0,4.829667960327727,1,3328,25
194.17,1.0,1474,0,14.061890387892975,1,1132,18
69.03,5.0,1316,0,8.870818702642765,1,2183,25
675.86,1.0,1193,0,4.829667960327727,1,202,24
42.17,5.0,1244,0,6.505267048604694,1,3173,25
69.49,5.0,1143,0,3.186923756134623,1,2575,12
116.85,5.0,1220,0,5.716749830592004,1,1661,25
78.84,5.0,1411,0,11.992032690609664,2,2917,18
192.9,4.0,1103,0,1.8727283927801393,1,2406,10
86.15,5.0,1270,0,7.359494034785109,1,2917,18
26.4,4.0,1124,0,2.562680958541243,1,2917,18
